valor,categoria,dia_da_semana,essencial,recorrente
100.5,Combustível,1,1,1
45.0,Alimentação,2,0,0
90.0,Manutenção,3,1,0
120.0,Alimentação,4,0,0
55.0,Lazer,5,0,0
110.0,Combustível,5,1,1
75.0,Alimentação,6,0,0
40.0,Lazer,7,0,0
60.0,Lazer,6,0,0
35.0,Alimentação,2,0,0
150.0,Manutenção,3,1,0
30.0,Lazer,5,0,0
20.0,Alimentação,1,0,0
85.0,Combustível,4,1,1
95.0,Combustível,3,1,1
10.0,lazer,2,0,0
58.9,Combustível,4,1,1
20.47,Alimentação,7,1,1
11.33,Lanche,6,0,0
58.89,Combustível,6,1,1
44.98,Lanche,5,0,0
58.9,Combustível,4,1,1
14.76,Lanche,3,0,0
33.98,Lanche,2,0,0
20.44,Alimentação,2,1,1
46.93,Lazer,1,0,1
100.5,Combustível,1,1,1
45.0,Alimentação,2,0,0
90.0,Manutenção,3,1,0
120.0,Alimentação,4,0,0
55.0,Lazer,5,0,0
110.0,Combustível,5,1,1
75.0,Alimentação,6,0,0
40.0,Lazer,7,0,0
60.0,Lazer,6,0,0
35.0,Alimentação,2,0,0
150.0,Manutenção,3,1,0
30.0,Lazer,5,0,0
20.0,Alimentação,1,0,0
85.0,Combustível,4,1,1
95.0,Combustível,3,1,1
10.0,Lazer,2,0,0
58.9,Combustível,4,1,1
20.47,Alimentação,7,1,1
11.33,Lanche,6,0,0
58.89,Combustível,6,1,1
44.98,Lanche,5,0,0
58.9,Combustível,4,1,1
14.76,Lanche,3,0,0
33.98,Lanche,2,0,0
20.44,Alimentação,2,1,1
46.93,Lazer,1,0,1
70.25,Alimentação,3,0,0
105.0,Combustível,2,1,1
88.0,Manutenção,7,1,0
33.5,Lazer,4,0,0
25.0,Lanche,1,0,0
180.0,Alimentação,5,0,0
62.5,Combustível,7,1,1
50.0,Lazer,3,0,0
130.0,Manutenção,1,1,0
40.0,Alimentação,6,0,0
92.0,Combustível,5,1,1
15.75,Lanche,4,0,0
20.0,Alimentação,3,1,1
70.0,Lazer,2,0,0
98.5,Combustível,1,1,1
55.0,Alimentação,4,0,0
115.0,Manutenção,2,1,0
28.0,Lazer,6,0,0
38.5,Lanche,7,0,0
140.0,Alimentação,1,0,0
80.0,Combustível,3,1,1
45.0,Lazer,5,0,0
100.0,Manutenção,4,1,0
65.0,Alimentação,7,0,0
72.5,Combustível,6,1,1
12.5,Lanche,1,0,0
22.5,Alimentação,5,1,1
50.0,Lazer,3,0,0
110.0,Combustível,2,1,1
30.0,Alimentação,1,0,0
90.0,Manutenção,5,1,0
60.0,Lazer,7,0,0
18.0,Lanche,6,0,0
160.0,Alimentação,4,0,0
88.0,Combustível,2,1,1
42.0,Lazer,1,0,0
125.0,Manutenção,6,1,0
78.0,Alimentação,3,0,0
102.0,Combustível,7,1,1
16.5,Lanche,5,0,0
25.5,Alimentação,1,1,1
35.0,Lazer,4,0,0
93.0,Combustível,3,1,1
52.0,Alimentação,6,0,0
135.0,Manutenção,7,1,0
29.0,Lazer,2,0,0
48.0,Lanche,1,0,0
155.0,Alimentação,5,0,0
68.0,Combustível,4,1,1
43.0,Lazer,3,0,0
108.0,Manutenção,1,1,0
70.0,Alimentação,2,0,0
63.50,Alimentação,1,1,0
85.20,Combustível,2,1,1
12.30,Lanche,3,0,0
41.80,Lazer,4,0,0
149.90,Manutenção,5,1,0
33.50,Lanche,6,0,0
58.90,Combustível,7,1,1
75.00,Alimentação,1,0,0
20.45,Lazer,2,0,1
94.70,Combustível,3,1,1
15.20,Lanche,4,0,0
115.00,Manutenção,5,1,0
36.60,Alimentação,6,0,0
50.00,Lazer,7,0,0
97.20,Combustível,1,1,1
23.45,Lanche,2,0,0
